                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3605,                 2.1983,                 1.2334,                0.75025,                0.74961,                0.80723,                0.46778,                 1.3626,                0.95957,                  1.215,             0.00010286,             0.00010286,             0.00010286
                      2,                 1.2628,                0.87972,                 1.1609,                0.90527,                0.85487,                0.89149,                0.52159,                 1.2971,                0.76971,                 1.2037,             0.00019899,             0.00019899,             0.00019899
                      3,                 1.2747,                0.77067,                 1.1794,                0.90932,                0.86006,                0.89508,                0.51272,                 1.3599,                0.74524,                 1.2265,             0.00028686,             0.00028686,             0.00028686
                      4,                  1.266,                0.73168,                 1.1574,                0.91194,                0.88812,                0.91441,                0.52909,                 1.3265,                0.68296,                 1.2131,             0.00027582,             0.00027582,             0.00027582
                      5,                 1.2535,                0.67204,                 1.1592,                0.94302,                0.88277,                0.91962,                0.52982,                 1.3442,                0.63972,                 1.2212,             0.00026342,             0.00026342,             0.00026342
                      6,                 1.2516,                0.62938,                 1.1861,                0.95191,                0.86539,                0.92365,                0.54215,                 1.3551,                0.66489,                 1.2069,             0.00025103,             0.00025103,             0.00025103
                      7,                 1.2444,                0.61335,                 1.1669,                0.94133,                0.88504,                0.92835,                0.53578,                 1.3433,                0.62731,                 1.2143,             0.00023863,             0.00023863,             0.00023863
                      8,                 1.2188,                0.58994,                 1.1421,                 0.9412,                0.89392,                0.92678,                0.53965,                 1.3094,                0.60821,                 1.2159,             0.00022624,             0.00022624,             0.00022624
                      9,                 1.2183,                0.58053,                 1.1577,                 0.9424,                 0.8939,                0.92101,                0.53702,                 1.3197,                0.61976,                  1.213,             0.00021384,             0.00021384,             0.00021384
                     10,                 1.1934,                  0.568,                 1.1506,                0.93551,                0.90329,                0.92617,                0.54375,                 1.3096,                0.59098,                 1.2099,             0.00020145,             0.00020145,             0.00020145
                     11,                 1.1975,                0.55268,                 1.1378,                0.94704,                 0.9036,                0.93329,                 0.5483,                 1.3369,                0.58049,                 1.2105,             0.00018905,             0.00018905,             0.00018905
                     12,                 1.1788,                0.54394,                 1.1419,                0.93359,                0.91295,                0.93235,                0.55003,                 1.2909,                0.57437,                 1.2055,             0.00017666,             0.00017666,             0.00017666
                     13,                 1.1897,                0.54428,                 1.1448,                0.93614,                0.90109,                0.92536,                0.53773,                 1.3315,                0.59746,                 1.2171,             0.00016426,             0.00016426,             0.00016426
                     14,                 1.1683,                0.52414,                 1.1389,                0.94334,                0.89959,                0.92877,                0.54468,                 1.3014,                0.55302,                 1.2137,             0.00015187,             0.00015187,             0.00015187
                     15,                  1.144,                0.50162,                  1.125,                0.94689,                0.89944,                0.93421,                0.54565,                 1.3057,                0.56086,                 1.2074,             0.00013947,             0.00013947,             0.00013947
                     16,                  1.148,                 0.5141,                 1.1239,                0.94145,                0.91093,                0.93399,                0.54724,                 1.2994,                0.56209,                 1.2061,             0.00012708,             0.00012708,             0.00012708
                     17,                 1.1544,                0.49702,                 1.1274,                0.93467,                0.91617,                 0.9362,                0.54689,                 1.2913,                0.55527,                 1.1965,             0.00011468,             0.00011468,             0.00011468
                     18,                 1.1225,                0.47858,                 1.1066,                0.93879,                0.91179,                0.93962,                0.55395,                 1.2835,                0.52806,                  1.208,             0.00010229,             0.00010229,             0.00010229
                     19,                 1.1203,                0.47711,                 1.1134,                0.95101,                 0.9041,                0.93728,                0.54987,                 1.3003,                0.53071,                 1.2129,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     20,                 1.1124,                0.47139,                 1.1029,                0.93249,                0.91697,                0.93766,                0.54753,                 1.2734,                0.53151,                 1.2041,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     21,                 1.0932,                 0.4565,                 1.0914,                0.94221,                0.91864,                0.93675,                0.54563,                 1.2945,                0.53485,                 1.2151,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     22,                 1.0654,                0.45135,                 1.0859,                 0.9453,                0.91594,                0.94149,                0.55291,                 1.2969,                0.54288,                 1.2064,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     23,                 1.0646,                0.43379,                 1.0894,                 0.9376,                0.92154,                 0.9362,                0.55182,                 1.2753,                0.51696,                 1.2098,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     24,                 1.0437,                 0.4305,                 1.0787,                0.94271,                0.91617,                 0.9382,                0.55255,                 1.2847,                 0.5208,                 1.2144,              2.792e-05,              2.792e-05,              2.792e-05
                     25,                 1.0351,                0.42193,                 1.0759,                0.93911,                0.92175,                0.93707,                 0.5539,                 1.2703,                0.51526,                 1.2125,             1.5525e-05,             1.5525e-05,             1.5525e-05
