                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4298,                 2.7978,                 1.2941,                0.70162,                0.68478,                0.70392,                0.40618,                 1.1363,                 1.1515,                 1.1661,             0.00010144,             0.00010144,             0.00010144
                      2,                 1.2605,                 0.9507,                 1.1743,                 0.9002,                0.82773,                0.88054,                0.51185,                   1.29,                0.82977,                 1.1853,             0.00019898,             0.00019898,             0.00019898
                      3,                 1.2548,                0.79746,                 1.1713,                 0.9282,                0.83983,                0.89357,                0.51562,                 1.1736,                0.65604,                 1.1826,             0.00028964,             0.00028964,             0.00028964
                      4,                 1.2705,                0.70852,                 1.1715,                0.92263,                0.87884,                0.91121,                0.53188,                 1.3471,                0.69566,                 1.1902,             0.00028201,             0.00028201,             0.00028201
                      5,                 1.2293,                0.67008,                 1.1677,                0.92021,                0.88125,                0.91753,                0.52764,                 1.3437,                0.68958,                 1.1968,             0.00027168,             0.00027168,             0.00027168
                      6,                 1.2134,                0.63876,                 1.1612,                 0.9362,                0.87984,                 0.9238,                0.54074,                 1.3249,                 0.6774,                 1.1816,             0.00026136,             0.00026136,             0.00026136
                      7,                  1.227,                0.62802,                 1.1624,                0.93183,                 0.8843,                0.91872,                0.52198,                 1.3887,                0.66328,                 1.2086,             0.00025103,             0.00025103,             0.00025103
                      8,                 1.2099,                0.58558,                 1.1373,                0.93994,                0.89006,                  0.926,                 0.5446,                 1.3083,                0.62374,                 1.1729,              0.0002407,              0.0002407,              0.0002407
                      9,                 1.2016,                0.59079,                   1.15,                0.93066,                0.89543,                0.92517,                0.52331,                 1.3822,                0.72842,                 1.2103,             0.00023037,             0.00023037,             0.00023037
                     10,                 1.1971,                 0.5678,                 1.1565,                0.93675,                0.89865,                0.92927,                 0.5402,                 1.3138,                0.66245,                   1.19,             0.00022004,             0.00022004,             0.00022004
                     11,                 1.1981,                0.55462,                 1.1323,                0.93081,                0.90182,                 0.9271,                0.53331,                 1.2783,                 0.6199,                 1.1858,             0.00020971,             0.00020971,             0.00020971
