                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4915,                  3.953,                 1.3403,                0.62813,                0.24164,                0.26781,                 0.1566,                 1.3201,                 2.2566,                 1.2409,              8.138e-05,              8.138e-05,              8.138e-05
                      2,                 1.2668,                 1.3687,                 1.1576,                0.79468,                0.64733,                0.72047,                0.40716,                 1.3253,                 1.0152,                 1.2361,              0.0001612,              0.0001612,              0.0001612
                      3,                 1.2505,                0.97605,                 1.1578,                0.85616,                0.74353,                0.83497,                0.47728,                 1.3163,                0.85372,                 1.2305,             0.00023623,             0.00023623,             0.00023623
                      4,                 1.2477,                0.84231,                 1.1451,                0.90368,                 0.7807,                0.86092,                0.49817,                 1.3068,                0.74153,                 1.2249,             0.00028644,             0.00028644,             0.00028644
                      5,                 1.2435,                0.76723,                  1.149,                0.91505,                0.80212,                0.88466,                0.51511,                 1.2911,                0.64882,                 1.2211,             0.00027759,             0.00027759,             0.00027759
                      6,                 1.2252,                0.69815,                 1.1437,                0.90831,                 0.8298,                 0.8878,                 0.5179,                 1.3003,                0.62823,                 1.2291,             0.00026873,             0.00026873,             0.00026873
                      7,                 1.2368,                0.68827,                 1.1579,                0.92311,                0.83591,                0.89668,                0.52725,                  1.294,                0.60922,                 1.2205,             0.00025988,             0.00025988,             0.00025988
                      8,                 1.2307,                 0.6573,                 1.1322,                0.92187,                0.84818,                0.90001,                0.52807,                 1.2858,                0.59256,                 1.2229,             0.00025103,             0.00025103,             0.00025103
                      9,                 1.2022,                0.63736,                 1.1331,                0.91507,                0.85541,                0.89748,                 0.5245,                 1.2959,                0.59529,                 1.2345,             0.00024217,             0.00024217,             0.00024217
                     10,                 1.2127,                 0.6135,                 1.1443,                0.92418,                0.86356,                0.90817,                0.53113,                 1.2954,                0.57381,                 1.2349,             0.00023332,             0.00023332,             0.00023332
