                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.579,                 4.9451,                 1.3838,                      0,                      0,                      0,                      0,                 1.2836,                 4.7151,                 1.1526,              4.069e-05,              4.069e-05,              4.069e-05
                      2,                 1.3839,                 4.3864,                 1.1376,                0.00772,                0.03247,                0.03171,                0.02572,                 1.3176,                  4.334,                 1.0452,             8.2418e-05,             8.2418e-05,             8.2418e-05
                      3,                 1.3695,                 3.3582,                 1.1124,                 0.0363,                0.21402,                0.07309,                0.05069,                 1.3347,                 3.6775,                 1.0678,             0.00012198,             0.00012198,             0.00012198
                      4,                 1.3531,                 2.5602,                 1.1071,                0.06157,                0.55096,                0.16034,                0.09921,                 1.3147,                 2.9412,                 1.0941,             0.00015937,             0.00015937,             0.00015937
                      5,                 1.3016,                 2.0309,                 1.0985,                0.13501,                0.53891,                0.27203,                0.16197,                 1.3134,                 3.1166,                 1.1337,             0.00019459,             0.00019459,             0.00019459
                      6,                 1.2562,                 1.6659,                 1.1042,                0.12608,                0.78127,                0.45425,                0.27142,                 1.3225,                 2.5969,                 1.1344,             0.00022764,             0.00022764,             0.00022764
                      7,                  1.257,                 1.4462,                 1.0923,                0.64272,                0.47378,                0.58518,                0.33969,                 1.3117,                 2.1714,                 1.1355,             0.00025852,             0.00025852,             0.00025852
                      8,                 1.2546,                 1.2873,                 1.0916,                0.86939,                0.40439,                0.66862,                0.38837,                 1.3189,                 1.7426,                 1.1441,             0.00025877,             0.00025877,             0.00025877
                      9,                 1.2172,                 1.1611,                 1.0854,                0.91684,                0.50757,                0.74092,                0.42797,                 1.3116,                 1.6106,                 1.1453,             0.00025103,             0.00025103,             0.00025103
                     10,                 1.2339,                 1.1377,                 1.0774,                0.88276,                0.67559,                0.78752,                0.45863,                 1.2991,                 1.2596,                 1.1379,             0.00024328,             0.00024328,             0.00024328
